user_id,landscapes,climates,activities,"Please list any other features/requirements you would be interested in while visiting a National Park (e.g, family-friendly, group tours, ADA compliance, lodging)."
163,Mountains,Hot,"Land Activities (bouldering, hiking)",
164,Beach,Hot,"Water Activities (swimming, boating)",
165,Forest,Hot,"Leisure Activities (birdwatching, stargazing)",Ban on Bluetooth speakers
166,Forest,Hot,"Land Activities (bouldering, hiking)",
167,Forest,Cold,"Leisure Activities (birdwatching, stargazing)","""Beginner-friendly"" for outdoor newbies"
168,Forest,Cold,"Land Activities (bouldering, hiking)",Family friendly. Tent camping. Well maintained trails. 
169,Forest,Cold,"Land Activities (bouldering, hiking)",Lodging
170,Forest,Cold,"Land Activities (bouldering, hiking)",
171,Mountains,Hot,"Water Activities (swimming, boating)",
172,Mountains,Snow,"Land Activities (bouldering, hiking)",
173,Forest,Cold,"Land Activities (bouldering, hiking)",
174,Forest,Cold,"Land Activities (bouldering, hiking)",
175,Mountains,Hot,"Land Activities (bouldering, hiking)",electric shuttle buses
176,Mountains,Snow,"Land Activities (bouldering, hiking)",
177,Beach,Cold,"Leisure Activities (birdwatching, stargazing)",
178,Forest,Hot,"Land Activities (bouldering, hiking)",Family-friendly
179,Mountains,Cold,"Land Activities (bouldering, hiking)","Family-friendly, no wolves, no hamfish"
180,Beach,Hot,"Land Activities (bouldering, hiking)",clean bathrooms
181,Mountains,Cold,"Land Activities (bouldering, hiking)",
182,Mountains,Cold,"Land Activities (bouldering, hiking)",
183,Mountains,Hot,"Water Activities (swimming, boating)",camp grounds
184,Forest,Cold,"Land Activities (bouldering, hiking)","Lodging or campground, visitor center, canoe or kayak or fishing"
185,Beach,Hot,"Land Activities (bouldering, hiking)","Family friendly, lodging "
186,Mountains,Hot,"Land Activities (bouldering, hiking)",Mountain biking
187,Forest,Hot,"Land Activities (bouldering, hiking)",
188,Mountains,Hot,"Land Activities (bouldering, hiking)",ability to backpack in wilderness without needing advance permit
189,Mountains,Hot,"Land Activities (bouldering, hiking)",Camping
190,Mountains,Rain,"Extreme Activities (canyoneering, caving)","White water rafting, trail clean up projects, cabin/tenting"
191,Mountains,Hot,"Land Activities (bouldering, hiking)","Waterfall hikes, camping, "
192,Mountains,Hot,"Land Activities (bouldering, hiking)",
193,Mountains,Cold,"Land Activities (bouldering, hiking)",
194,Mountains,Cold,"Land Activities (bouldering, hiking)","Family friendly; good, reasonably-priced food"
195,Mountains,Hot,"Land Activities (bouldering, hiking)",
196,Mountains,Cold,"Land Activities (bouldering, hiking)",Showers and toilets at campgrounds 
197,Mountains,Cold,"Land Activities (bouldering, hiking)",
198,Mountains,Cold,"Extreme Activities (canyoneering, caving)",Lodging
199,Forest,Cold,"Land Activities (bouldering, hiking)",
200,Mountains,Hot,"Land Activities (bouldering, hiking)",Mountain biking 
201,Mountains,Hot,"Land Activities (bouldering, hiking)",
202,Mountains,Cold,"Land Activities (bouldering, hiking)",
203,Mountains,Snow,"Land Activities (bouldering, hiking)",
204,Forest,Hot,"Land Activities (bouldering, hiking)",clean facilities
205,Mountains,Cold,"Leisure Activities (birdwatching, stargazing)",
206,Mountains,Cold,"Land Activities (bouldering, hiking)",Wilderness Camping
207,Forest,Hot,"Land Activities (bouldering, hiking)",Family friendly. Tours
208,Beach,Cold,"Water Activities (swimming, boating)",
209,Forest,Cold,"Land Activities (bouldering, hiking)",Dog friendly
210,Beach,Hot,"Water Activities (swimming, boating)","Lodging, camping, also leisure activities, extreme activities, zip lining, caving, rock climbing, etc."
211,Beach,Cold,"Leisure Activities (birdwatching, stargazing)",
212,Mountains,Hot,"Water Activities (swimming, boating)","Not overcrowded, good parking or a good bus system, diversity of trails (some long and hard some easy), places to be sheltered from wind rain heat"
213,Mountains,Hot,"Land Activities (bouldering, hiking)",
214,Mountains,Hot,"Land Activities (bouldering, hiking)",Camping available
215,Forest,Cold,"Land Activities (bouldering, hiking)",
216,Mountains,Hot,"Land Activities (bouldering, hiking)","cabin rentals, bike and equipment rentals, shuttle service"
217,Forest,Hot,"Land Activities (bouldering, hiking)",
218,Mountains,Hot,"Land Activities (bouldering, hiking)",Affordable campsites
219,Mountains,Hot,"Land Activities (bouldering, hiking)",Campgrounds and possibly “glamping”
220,Beach,Cold,"Water Activities (swimming, boating)",Camping grounds 
221,Mountains,Hot,"Land Activities (bouldering, hiking)",
